
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    2.5500   1.1192381E+06   1.0696641E+06   1.1192381E+06   9.2209489E+05   8.7260512E+05   9.2209489E+05
    2.5625   1.1192610E+06   1.0696819E+06   1.1192610E+06   9.2213374E+05   8.7262001E+05   9.2213374E+05
    2.5750   1.1192880E+06   1.0696878E+06   1.1192880E+06   9.2217401E+05   8.7263188E+05   9.2217401E+05
    2.5875   1.1193189E+06   1.0696816E+06   1.1193189E+06   9.2221574E+05   8.7264058E+05   9.2221574E+05
    2.6000   1.1193539E+06   1.0696637E+06   1.1193539E+06   9.2225895E+05   8.7264591E+05   9.2225895E+05
    2.6125   1.1193929E+06   1.0696341E+06   1.1193929E+06   9.2230372E+05   8.7264762E+05   9.2230372E+05
    2.6250   1.1194357E+06   1.0695932E+06   1.1194357E+06   9.2235011E+05   8.7264538E+05   9.2235011E+05
    2.6375   1.1194824E+06   1.0695413E+06   1.1194824E+06   9.2239820E+05   8.7263885E+05   9.2239820E+05
    2.6500   1.1195327E+06   1.0694788E+06   1.1195327E+06   9.2244810E+05   8.7262763E+05   9.2244810E+05
    2.6625   1.1195866E+06   1.0694061E+06   1.1195866E+06   9.2249992E+05   8.7261130E+05   9.2249992E+05
    2.6750   1.1196440E+06   1.0693237E+06   1.1196440E+06   9.2255375E+05   8.7258940E+05   9.2255375E+05
    2.6875   1.1197047E+06   1.0692321E+06   1.1197047E+06   9.2260973E+05   8.7256146E+05   9.2260973E+05
    2.7000   1.1197685E+06   1.0691319E+06   1.1197685E+06   9.2266798E+05   8.7252701E+05   9.2266798E+05
    2.7125   1.1198353E+06   1.0690235E+06   1.1198353E+06   9.2272862E+05   8.7248556E+05   9.2272862E+05
    2.7250   1.1199049E+06   1.0689076E+06   1.1199049E+06   9.2279178E+05   8.7243664E+05   9.2279178E+05
